LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,127.03,
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,33.49,
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,55.25,
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,289.06,
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,43.33,
DNK,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,17.01,
FIN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,33.28,
FRA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,247.09,
DEU,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,311.25,
GRC,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,23.28,
HUN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,26.65,
ISL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,5.47,
IRL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,13.64,
ITA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,153.45,
JPN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,432.03,
KOR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,282.25,
LUX,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,3.77,
MEX,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,180.1,
NLD,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,74.2,
NZL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,20.7,
NOR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,29.98,
POL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,103.84,
PRT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,22.77,
SVK,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,17.4,
ESP,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,126.01,
SWE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,49.17,
CHE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,23.68,
TUR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,146.8,
GBR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,175.88,
USA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,2155.23,
OEU,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,1761.25,
ALB,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,2.35,
DZA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,55.52,
ARG,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,85.35,
ARM,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,3.19,
AZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,14.34,
BGD,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,40.52,
BLR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,25.51,
BIH,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,6.76,
BRA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,290.24,
BRN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,3.61,
BGR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,18.74,
KHM,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,8.09,
CHL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,38.34,
CHN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,3063.43,
COL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,38.36,
HRV,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,8.75,
CYP,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,2.22,
EGY,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,92.76,
EST,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,5.71,
ETH,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,42.33,
GEO,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,4.81,
GHA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,9.24,
HTI,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,4.49,
HKG,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,14.02,
IND,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,881.94,
IDN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,244.07,
IRN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,261.61,
ISR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,23.02,
KAZ,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,84.99,
LVA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,4.4,
LTU,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,7.54,
MYS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,84.79,
MLT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,0.68,
MDA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,3.85,
MOZ,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,10.62,
NGA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,157.14,
PAK,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,104.46,
PRY,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,7.06,
PER,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,24.59,
PHL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,58.13,
ROU,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,33.33,
RUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,732.16,
SAU,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,211.32,
SGP,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,36.66,
SVN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,6.91,
ZAF,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,132.19,
SDN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,18.74,
TWN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,110.09,
TZA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,20.43,
THA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,138.15,
UKR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,89.46,
ARE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,67.65,
URY,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,5.12,
VNM,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,78.18,
ZMB,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,12.05,
WLD,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,13972.24,
SRB,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,15.61,
MNE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,1.02,
EU28,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,1619.04,
OECD,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,5309.02,
G20,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,10886.26,
AGO,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,14.68,
BHR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,14.03,
BEN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,5.1,
BOL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,8.92,
BWA,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,2.78,
CMR,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,9.27,
COG,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,2.97,
CRI,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,5.02,
CIV,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,10.45,
CUB,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,10.65,
PRK,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,15.23,
COD,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,29.77,
DOM,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,8.7,
ECU,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,14.5,
SLV,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,4.12,
ERI,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,0.88,
GAB,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,5.02,
GTM,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,13.71,
HND,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,6.02,
