,country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh
2,ALB,Albania,Koman,600.0,42.1033,19.8224,Hydro,1980.712788259958
1,ALB,Albania,Fierza,500.0,42.2514,20.0431,Hydro,1650.5939902166315
6,ALB,Albania,Vau i Dijes,250.0,42.0137,19.6359,Hydro,825.2969951083159
0,ALB,Albania,Bistrica 1,27.0,39.9116,20.1047,Hydro,89.13207547169813
5,ALB,Albania,Ulez,25.0,41.6796,19.8936,Hydro,82.52969951083159
4,ALB,Albania,Shkopet,24.0,41.6796,19.8305,Hydro,79.22851153039831
3,ALB,Albania,Lanabregas,5.0,41.3428,19.8964,Hydro,16.505939902166322
7,ALB,Albania,Vlora,98.0,40.4874,19.434,Other,0.0
15,DZA,Algeria,Hadjret Ennous,1200.0,36.5767,2.0797,Gas,4966.730351143026
24,DZA,Algeria,Koudiet Eddraouch,1200.0,36.885,8.0778,Gas,4966.730351143026
36,DZA,Algeria,Terga,1200.0,35.4608,-1.2295,Gas,4966.730351143026
28,DZA,Algeria,Msila 1,980.0,35.7071,4.4804,Gas,4056.1631201001373
26,DZA,Algeria,Marsat,840.0,35.8,-0.1924,Gas,3476.711245800119
33,DZA,Algeria,SKS IPP SNC Lavalin,815.0,36.8789,6.9366,Gas,3373.237696817972
29,DZA,Algeria,Ras Djinet,672.0,36.8509,3.6983,Gas,2781.3689966400952
18,DZA,Algeria,Hassi Messoud,600.0,31.6703,6.0531,Gas,2483.365175571513
39,DZA,Algeria,Tilghemt 2,600.0,33.1377,3.3678,Gas,2483.365175571513
22,DZA,Algeria,Jijel,588.0,36.8139,5.876,Gas,2433.6978720600832
43,AGO,Angola,Capanda,520.0,-9.7955,15.4672,Hydro,3401.6610433428496
47,AGO,Angola,Luanda Diesel,58.0,-8.8383,13.2344,Oil,1880.657414170928
42,AGO,Angola,Cambambe,180.0,-9.7523,14.4809,Hydro,1177.4980534648325
40,AGO,Angola,Biopio,22.8,-12.4706,13.7319,Oil,739.2929145361577
48,AGO,Angola,Luanda Refinery,18.5,-8.8383,13.2344,Oil,599.8648648648649
45,AGO,Angola,Huambo,16.26,-12.76,15.75,Oil,527.2325785244706
53,AGO,Angola,Xitoto,11.34,-15.3333,15.0,Oil,367.70094959824684
49,AGO,Angola,Malongo,10.0,-5.55,12.2,Oil,324.2512783053324
50,AGO,Angola,Matala,40.0,-14.7333,15.0333,Hydro,261.66623410329606
52,AGO,Angola,Rio Luachimo,16.0,-7.3,20.85,Hydro,104.66649364131844
284,ARG,Argentina,YACYRETA,1550.0,-27.4827,-56.7397,Hydro,6409.1258646500755
232,ARG,Argentina,NUEVO PUERTO,1217.7,-34.5721,-58.3835,Gas,6290.998095360777
248,ARG,Argentina,PIEDRA DEL AGUILA (CPSA),1400.0,-31.6651,-63.8314,Hydro,5788.887877748456
185,ARG,Argentina,EL CHOCON,1200.0,-39.2577,-68.7483,Hydro,4961.90389521296
182,ARG,Argentina,DOCK SUD,872.3,-34.6533,-58.342,Gas,4506.559611220502
93,ARG,Argentina,CENTRAL TERMOELECTRICA MANUEL BELGRANO,868.2,-24.6894,-65.0425,Gas,4485.37779945161
94,ARG,Argentina,CENTRAL TERMOELECTRICA TIMBUES,865.1400000000001,-32.5778,-60.791,Gas,4469.5689350582425
57,ARG,Argentina,ALICURA,1050.0,-40.58,-70.7489,Hydro,4341.665908311342
