country_long,,estimated_generation_gwh
Algeria,22,4966.730351143026
Algeria,31,4966.730351143026
Algeria,43,4966.730351143026
Algeria,35,4056.1631201001373
Algeria,33,3476.711245800119
Angola,50,3401.6610433428496
Angola,54,1880.657414170928
Angola,49,1177.4980534648325
Angola,47,739.2929145361577
Angola,55,599.8648648648649
Argentina,293,6409.1258646500755
Argentina,241,6290.998095360777
Argentina,257,5788.887877748456
Argentina,194,4961.90389521296
Argentina,191,4506.559611220502
Australia,648,5685.922583233053
Australia,555,2436.823964242737
Australia,661,2042.6172526551763
Australia,572,2039.896988786868
Australia,688,2030.6866368689475
Austria,780,3607.1515966534757
Austria,806,3323.6923076923076
Austria,768,2594.184367456267
Austria,761,2470.6517785297783
Austria,762,2371.825707388587
Azerbaijan,839,7574.811715481172
Azerbaijan,845,5098.430962343095
Azerbaijan,844,3884.518828451882
Azerbaijan,842,2903.677824267782
Azerbaijan,837,1039.1087866108787
Bangladesh,856,8614.412113607848
Bangladesh,874,4941.924717691342
Bangladesh,870,4497.882856165164
Bangladesh,885,4466.538724763317
Bangladesh,866,2888.8841108703086
Belarus,916,10087.12599373645
Belarus,910,4633.517224765117
Belarus,918,4243.973741267165
Belarus,919,3198.35702240424
Belarus,913,2230.649000240906
Belgium,942,16550.631138411693
Belgium,979,11680.991832326436
Belgium,978,5471.377029261871
Belgium,964,4402.0
Belgium,972,2648.9917355371904
Bolivia,1011,2036.0350097776764
Bolivia,1020,971.4795618082055
Bolivia,1004,887.7112642630667
Bolivia,1010,698.069146209489
Bolivia,1002,523.5518596571168
Bosnia and Herzegovina,1040,4163.050561797752
Bosnia and Herzegovina,1031,2566.2640449438204
Bosnia and Herzegovina,1026,1710.8426966292136
Bosnia and Herzegovina,1041,1710.8426966292136
Bosnia and Herzegovina,1024,1130.2199047834958
Brazil,3147,32510.42324226601
Brazil,2082,26663.498851301938
Brazil,2141,14284.017241768897
Brazil,2903,13590.76627163505
Brazil,2048,13118.441434840557
Bulgaria,3395,15867.0
Bulgaria,3398,7024.2045688413245
Bulgaria,3399,3981.259518419428
Bulgaria,3389,2937.7135213006786
Bulgaria,3390,2762.327639431982
Cambodia,3426,692.1089108910893
Cambodia,3421,688.6424642464248
Cambodia,3429,501.20132013201317
Cambodia,3418,393.21892189218926
Cambodia,3428,244.48844884488446
Canada,3691,28252.82166409429
Canada,4279,26629.34675210389
Canada,3643,25737.90850612891
Canada,3571,25608.84102708012
Canada,3570,24324.621860530377
Chile,4836,5383.088303881293
Chile,4685,4084.203964210624
Chile,4752,3641.0486654804076
Chile,4606,3196.063982343497
Chile,4831,2624.101047005326
China,7298,92452.5703250953
China,4888,53622.490788555275
China,7484,51773.439382053366
China,5302,30141.21843472656
China,5232,28935.569697337494
Colombia,7904,9253.420675231551
Colombia,7898,8911.801613385122
Colombia,7897,7426.501344487601
Colombia,7905,6089.731102479833
Colombia,7903,4901.490887361817
Costa Rica,7924,1086.7257318952234
Costa Rica,7930,931.4791987673344
Costa Rica,7935,889.0173410404625
Costa Rica,7925,815.0442989214175
Costa Rica,7942,693.4345146379045
Croatia,7980,2935.3854686633395
Croatia,7971,2368.0
Croatia,7967,1332.7324828988721
Croatia,7973,1214.6422628951746
Croatia,7979,564.8951529735305
Cuba,7988,2345.6900136636373
Cuba,7989,2345.6900136636373
Cuba,7983,2111.1210122972734
Cuba,7990,2111.1210122972734
Cuba,7985,1792.1071704390185
Democratic Republic of the Congo,8455,5186.00106002385
Democratic Republic of the Congo,8461,759.6395918908175
Democratic Republic of the Congo,8462,666.1454882734861
Democratic Republic of the Congo,8467,438.25361070624086
Democratic Republic of the Congo,8454,350.60288856499267
Denmark,8470,3711.645763795185
Denmark,8481,3407.0
Denmark,8484,1944.0627086144448
Denmark,8494,1922.6993821461544
Denmark,8472,1771.8923167616429
Dominican Republic,8516,4924.061757719715
Dominican Republic,8506,3993.0
Dominican Republic,8508,2117.346555819477
Dominican Republic,8509,2110.688524590164
Dominican Republic,8514,1146.2757719714964
Ecuador,8524,5281.287642272426
Ecuador,8533,3872.944270999777
Ecuador,8523,2590.011969392553
Ecuador,8526,2580.275082289574
Ecuador,8527,1869.4823237720689
Egypt,8542,17335.0
Egypt,8567,14591.114457831323
Egypt,8554,4539.4578313253005
Egypt,8572,4429.213855421685
Egypt,8577,4429.213855421685
Estonia,8596,104.32529686937748
Estonia,8604,97.80496581504137
Estonia,8602,84.9816480748471
Estonia,8606,78.24397265203311
Estonia,8595,52.16264843468874
Ethiopia,8620,4509.9538372764
Ethiopia,8615,1109.4004091695956
Ethiopia,8619,1012.9308083722394
Ethiopia,8623,723.522005980171
Ethiopia,8618,443.7601636678383
Finland,8744,15080.232558139536
Finland,8723,8499.767441860464
Finland,8732,4982.9626865671635
Finland,8811,2028.462686567164
Finland,8649,1869.7134328358206
France,9467,37749.85015048313
France,10107,36781.90527482972
France,9105,35952.238238555365
France,9117,25304.844606367813
France,10645,25304.844606367813
Georgia,10858,4197.528472921671
Georgia,10855,1368.192
Georgia,10868,826.5902223599597
Georgia,10867,710.3509723405904
Georgia,10862,488.64
Germany,11369,22362.88497001164
Germany,11526,20456.047884888707
Germany,11337,16639.17597633805
Germany,10988,15416.584193130415
Germany,11850,13825.98924666224
Greece,11858,8221.195195195196
Greece,11881,6442.942942942945
Greece,11915,3195.6996996996995
Greece,11863,3092.612612612613
Greece,11898,3092.612612612613
Guatemala,11938,1443.4299325129018
Guatemala,11961,972.5620412443201
Guatemala,12007,452.2747121873761
Guatemala,11994,450.6204124432016
Guatemala,11934,433.0289797538707
Honduras,12036,2104.8110575703777
Honduras,12040,1515.2279829959039
Honduras,12047,1310.5427339589146
Honduras,12034,453.8676134922648
Honduras,12046,453.8676134922648
Hungary,12066,15649.0
Hungary,12064,4526.613065326634
Hungary,12065,1280.1507537688442
Hungary,12067,1235.2045477616487
Hungary,12058,1201.8940547490947
Iceland,12073,4644.133640071108
Iceland,12074,1950.513986013986
Iceland,12071,1817.2696852452161
Iceland,12075,1413.4319774129458
Iceland,12080,1098.881118881119
India,12450,17592.233009879787
India,12491,14513.592233150825
India,12658,14513.592233150825
India,12944,11728.155339919858
India,12758,9675.728155433884
Indonesia,13068,21967.67667814407
Indonesia,13080,13947.731224218456
Indonesia,13029,6938.1087431693995
Indonesia,13086,5431.410629666246
Indonesia,13085,5415.001534108343
Iran,13142,14429.692392705838
Iran,13198,10513.061600399971
Iran,13128,10009.6528035648
Iran,13165,9853.41851959056
Iran,13180,9360.577051615295
Iraq,13235,17371.241721854305
Iraq,13231,10588.185430463576
Iraq,13229,6617.615894039735
Iraq,13236,5955.854304635762
Iraq,13241,5294.092715231788
Ireland,13297,6484.0
Ireland,13255,1846.6058226134055
Ireland,13300,1678.732566012187
Ireland,13313,1556.3249830737982
Ireland,13256,1521.3513879485442
Israel,13338,16126.495867768595
Israel,13343,14009.504132231405
Israel,13324,4578.576359492023
