country_long,,estimated_generation_gwh
Albania,2,1980.712788259958
Albania,1,1650.5939902166315
Albania,6,825.2969951083159
Albania,0,89.13207547169813
Albania,5,82.52969951083159
Albania,4,79.22851153039831
Albania,3,16.505939902166322
Albania,7,0.0
Algeria,15,4966.730351143026
Algeria,24,4966.730351143026
Algeria,36,4966.730351143026
Algeria,28,4056.1631201001373
Algeria,26,3476.711245800119
Algeria,33,3373.237696817972
Algeria,29,2781.3689966400952
Algeria,18,2483.365175571513
Algeria,39,2483.365175571513
Algeria,22,2433.6978720600832
Angola,43,3401.6610433428496
Angola,47,1880.657414170928
Angola,42,1177.4980534648325
Angola,40,739.2929145361577
Angola,48,599.8648648648649
Angola,45,527.2325785244706
Angola,53,367.70094959824684
Angola,49,324.2512783053324
Angola,50,261.66623410329606
Angola,52,104.66649364131844
Argentina,284,6409.1258646500755
Argentina,232,6290.998095360777
Argentina,248,5788.887877748456
Argentina,185,4961.90389521296
Argentina,182,4506.559611220502
Argentina,93,4485.37779945161
Argentina,94,4469.5689350582425
Argentina,57,4341.665908311342
Argentina,265,3907.499317480208
Argentina,84,3480.016684762273
Armenia,285,2465.0
Armenia,286,1890.6214396685655
Armenia,288,1158.0435233160624
Armenia,292,936.7944070429828
Armenia,287,461.5841532884516
Armenia,289,350.9222797927461
Armenia,291,326.15129533678754
Armenia,290,156.88290155440416
Australia,444,5685.922583233053
Australia,400,2436.823964242737
Australia,453,2042.6172526551763
Australia,411,2039.896988786868
Australia,471,2030.6866368689475
Australia,455,2017.399755708816
Australia,440,1949.4591713941895
Australia,396,1843.8634662770044
Australia,445,1799.1883602658872
Australia,330,1689.5312818749646
Austria,540,3607.1515966534757
Austria,566,3323.6923076923076
Austria,528,2594.184367456267
Austria,521,2470.6517785297783
Austria,522,2371.825707388587
Austria,519,1936.9909943673458
Austria,542,1754.1627627561422
Austria,590,1617.068181818182
Austria,560,1457.684549332569
Austria,512,1447.8019422184498
Azerbaijan,599,7574.811715481172
Azerbaijan,605,5098.430962343095
Azerbaijan,604,3884.518828451882
Azerbaijan,602,2903.677824267782
Azerbaijan,597,1039.1087866108787
Azerbaijan,596,1019.6861924686192
Azerbaijan,594,844.8828451882846
Azerbaijan,600,844.8828451882846
Azerbaijan,603,540.5544147843941
Azerbaijan,601,536.5503080082136
Bahrain,610,7928.463691576445
Bahrain,608,5539.852125693161
Bahrain,614,4334.754423026142
Bahrain,612,3464.206231845788
Bahrain,609,3460.608925270663
Bahrain,613,2518.114602587801
Bahrain,611,7.0
Bangladesh,616,8614.412113607848
Bangladesh,634,4941.924717691342
Bangladesh,630,4497.882856165164
Bangladesh,645,4466.538724763317
Bangladesh,626,2888.8841108703086
Bangladesh,654,2800.075738565073
Bangladesh,657,2716.491388160146
Bangladesh,642,2664.251169157066
Bangladesh,622,1795.71875
Bangladesh,660,1781.3914680050186
Belarus,676,10087.12599373645
Belarus,670,4633.517224765117
Belarus,678,4243.973741267165
Belarus,679,3198.35702240424
Belarus,673,2230.649000240906
Belarus,677,2222.448084798844
Belarus,682,2070.7311491206933
Belarus,680,1414.6579137557214
Belarus,681,799.58925560106
Belarus,671,738.0823897855938
Belgium,702,16550.631138411693
Belgium,739,11680.991832326436
Belgium,738,5471.377029261871
Belgium,724,4402.0
Belgium,732,2648.9917355371904
Belgium,705,2326.5677680377607
Belgium,711,2326.5677680377607
Belgium,692,2256.52056641942
Belgium,737,2111.4227916385707
Belgium,727,2026.3654753877274
Bolivia,764,2036.0350097776764
Bolivia,773,971.4795618082055
Bolivia,757,887.7112642630667
Bolivia,763,698.069146209489
Bolivia,755,523.5518596571168
Bolivia,770,468.1438432420396
Bolivia,762,467.8226728180592
Bolivia,760,270.66132264529057
Bolivia,774,256.1258071698953
Bolivia,769,246.06937403884487
Bosnia and Herzegovina,793,4163.050561797752
Bosnia and Herzegovina,784,2566.2640449438204
Bosnia and Herzegovina,779,1710.8426966292136
Bosnia and Herzegovina,794,1710.8426966292136
Bosnia and Herzegovina,777,1130.2199047834958
Bosnia and Herzegovina,795,847.6649285876217
Bosnia and Herzegovina,778,581.2559510315123
Bosnia and Herzegovina,790,565.1099523917479
Bosnia and Herzegovina,781,484.3799591929268
Bosnia and Herzegovina,791,484.3799591929268
