,country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh
1045,BRA,Brazil,14 de Julho,100.71,-29.0648,-51.6749,Hydro,383.6115670449456
1046,BRA,Brazil,3M Itapetininga,3.84,-23.5927,-48.0901,Oil,16.425140445524303
1047,BRA,Brazil,3M Sumaré,6.4,-22.8152,-47.1781,Oil,27.375234075873838
1048,BRA,Brazil,AJ Rorato,2.19,-23.9277,-52.4869,Oil,9.367462910338077
1049,BRA,Brazil,ALLIANZ PARQUE,3.8744,-23.5218,-46.6691,Oil,16.57228232868212
1050,BRA,Brazil,AMBEV - João Pessoa,1.35,-7.111,-34.8536,Oil,5.7744634378796365
1051,BRA,Brazil,ANHANGUERA EDUCACIONAL SA - CAMPO GRANDE,2.16,-20.4633,-54.5918,Oil,9.23914150060742
1052,BRA,Brazil,AREVALE,2.0,-22.8877,-45.3275,Biomass,7.162046702231287
1053,BRA,Brazil,ARS,6.66,-13.0992,-54.8189,Hydro,25.368414621381564
1054,BRA,Brazil,AVG I-II,4.8,-19.4632,-44.2871,Biomass,17.188912085355085
1055,BRA,Brazil,Abatedouro São Salvador,3.688,-16.0044,-49.7867,Oil,15.774978636222295
1056,BRA,Brazil,Abranjo I,4.86,-30.7944,-52.6272,Hydro,18.51208634533249
1057,BRA,Brazil,Abrasa,1.46,-26.7712,-52.1902,Hydro,5.561244046128691
1058,BRA,Brazil,Abunã,3.18,-9.6868,-65.3633,Oil,13.602069431449811
1059,BRA,Brazil,Adria,2.04,-21.251,-48.3125,Oil,8.725855861684785
1060,BRA,Brazil,Adriana Agrícola,1.46,-16.9399,-53.5185,Oil,6.244975273558718
1061,BRA,Brazil,Aeroporto Internacional Eduardo Gomes,1.008,-3.0293,-60.0239,Oil,4.311599366950128
1062,BRA,Brazil,Aeroporto Internacional Pinto Martins - Terminal de Passageiros (TPS-1),1.08,-3.7737,-38.5321,Oil,4.619570750303709
1063,BRA,Brazil,Aeroporto Internacional Salgado Filho,2.7039999999999997,-30.029,-51.2205,Oil,11.566036397056697
1064,BRA,Brazil,Aeroporto Internacional Tancredo Neves,2.2,-19.6371,-43.9625,Oil,9.41023671358163
1065,BRA,Brazil,Aeroporto Internacional de Brasília,2.42,-15.8627,-47.9072,Oil,10.351260384939794
1066,BRA,Brazil,Aeroporto Internacional de Congonhas - São Paulo,2.273,-23.6234,-46.6464,Oil,9.722485477259566
1067,BRA,Brazil,Aeroporto Internacional de Rio Branco,1.032,-9.8627,-67.8905,Oil,4.414256494734655
1068,BRA,Brazil,Aeroporto Internacional de Salvador,2.023,-12.9041,-38.3153,Oil,8.653140396170745
1069,BRA,Brazil,Aeroporto Internacional de São Paulo/Guarulhos-Central Elétrica de Emergência CEE,9.6,-23.4293,-46.4571,Oil,41.06285111381074
1070,BRA,Brazil,Aeroporto Internacional de Viracopos - Campinas,3.865,-23.0029,-47.1249,Oil,16.53207495363318
1071,BRA,Brazil,Aeroporto Internacional do Recife,2.3680000000000003,-8.1297,-34.9085,Oil,10.128836608073318
1072,BRA,Brazil,Agostinho Rodrigues,1.3005,-20.2617,-43.7981,Hydro,4.953697179445454
1073,BRA,Brazil,Agro Trafo,14.683,-11.675,-46.6722,Hydro,55.92859337623807
1074,BRA,Brazil,Agroalcool,1.2,-20.6583,-49.8415,Biomass,4.297228021338771
1075,BRA,Brazil,Agropéu,21.6,-19.2517,-44.985,Biomass,77.35010438409789
1076,BRA,Brazil,Agrovale,14.0,-9.4938,-40.3564,Biomass,50.134326915619
1077,BRA,Brazil,Agudo,3.9,-27.5247,-51.5067,Hydro,14.855377931439655
1078,BRA,Brazil,Agudos Ambev,4.8,-22.465,-48.9785,Oil,20.53142555690537
1079,BRA,Brazil,Aguti,3.893,-27.3156,-49.0858,Hydro,14.828714432588356
1080,BRA,Brazil,Ahlstrom,1.3,-23.082,-46.9415,Gas,9.338778871969359
1081,BRA,Brazil,Aimorés,330.0,-19.4983,-41.0236,Hydro,1256.993517275663
1082,BRA,Brazil,Ala Polo,1.456,-23.6461,-46.6386,Oil,6.227865752261298
1083,BRA,Brazil,Albano Machado,3.0,-27.4967,-52.8036,Hydro,11.42721379341512
1084,BRA,Brazil,Albatroz,4.8,-6.5475,-34.968,Wind,5.691953553167892
1085,BRA,Brazil,Albertina,4.25,-21.0335,-47.9605,Biomass,15.219349242241485
1086,BRA,Brazil,Albrás,4.96,-1.502,-48.6165,Oil,21.215806408802226
1087,BRA,Brazil,Alcoa Beneficiamento,9.828,-2.506,-56.1625,Oil,42.038093827763745
1088,BRA,Brazil,Alcoa Porto,5.644,-2.172,-56.1635,Oil,24.14153455066124
1089,BRA,Brazil,Alcomira,2.4,-21.1971,-51.2083,Biomass,8.594456042677542
1090,BRA,Brazil,Alcon,11.2,-18.4533,-39.9358,Biomass,40.107461532495215
1091,BRA,Brazil,Alcon Laboratórios do Brasil,1.265,-23.5435,-46.6266,Oil,5.410886110309439
1092,BRA,Brazil,Alcoolvale,4.2,-20.0833,-51.2895,Biomass,15.0402980746857
1093,BRA,Brazil,Alcídia,38.1,-22.3457,-52.5145,Biomass,136.436989677506
1094,BRA,Brazil,Alecrim,72.0,-24.0814,-47.5067,Hydro,274.2531310419629
1095,BRA,Brazil,Alegre,2.056,-20.7672,-41.5306,Hydro,7.831450519753827
1096,BRA,Brazil,Alegria I,51.0,-5.0944,-36.3629,Wind,60.47700650240885
1097,BRA,Brazil,Alegria II,100.65,-5.1243,-36.3833,Wind,119.35315106798923
1098,BRA,Brazil,Alhandra,6.3,-7.2731,-34.9344,Wind,7.470689038532858
1099,BRA,Brazil,Almirante Álvaro Alberto - Unidade I (Antiga Angra I),640.0,-23.0087,-44.4574,Nuclear,4945.688442211055
1100,BRA,Brazil,Almirante Álvaro Alberto - Unidade II (Antiga Angra II),1350.0,-23.0072,-44.4588,Nuclear,10432.311557788946
1101,BRA,Brazil,Alta Floresta,5.0,-11.9319,-62.0425,Hydro,19.045356322358533
1102,BRA,Brazil,Alta Mogiana,75.0,-20.4819,-47.8662,Biomass,268.57675133367314
1103,BRA,Brazil,Altero Design,2.032,-29.6341,-50.9975,Oil,8.691636819089942
1104,BRA,Brazil,Alterosa,8.0,-19.8563,-44.5989,Oil,34.21904259484229
1105,BRA,Brazil,Alto Benedito Novo,2.544,-26.7819,-49.3972,Hydro,9.69027729681602
1106,BRA,Brazil,Alto Benedito Novo I,15.0,-26.7667,-49.4333,Hydro,57.13606896707561
1107,BRA,Brazil,Alto Brejaúba,1.35,-18.9011,-42.446,Hydro,5.142246207036804
1108,BRA,Brazil,Alto Fêmeas I,10.649,-12.45,-45.2,Hydro,40.56279989535921
1109,BRA,Brazil,Alto Irani,21.0,-27.0094,-52.4303,Hydro,79.99049655390584
